instrument,anomaly_type,count
X_25123_25450_PE,Spread widening,114
X_25123_25500_CE,Mispricing,430
X_25123_25500_CE,Price jump,350
X_25123_25500_CE,Gamma spike,284
X_25123_25500_CE,IV spike,215
X_25123_25500_CE,Spread widening,185
X_25123_25500_PE,Price jump,492
X_25123_25500_PE,Gamma spike,467
X_25123_25500_PE,Mispricing,346
X_25123_25500_PE,IV spike,341
X_25123_25500_PE,Spread widening,237
X_25123_25550_CE,Mispricing,395
X_25123_25550_CE,Price jump,285
X_25123_25550_CE,Gamma spike,281
X_25123_25550_CE,IV spike,206
X_25123_25550_CE,Spread widening,155
X_25123_25550_PE,Gamma spike,540
X_25123_25550_PE,Mispricing,419
X_25123_25550_PE,IV spike,367
X_25123_25550_PE,Price jump,205
X_25123_25550_PE,Spread widening,125
X_25123_25600_CE,Mispricing,385
X_25123_25600_CE,Gamma spike,297
X_25123_25600_CE,Price jump,260
X_25123_25600_CE,IV spike,201
X_25123_25600_CE,Spread widening,130
X_25123_25600_PE,Gamma spike,581
X_25123_25600_PE,IV spike,384
X_25123_25600_PE,Mispricing,382
X_25123_25600_PE,Price jump,180
X_25123_25600_PE,Spread widening,84
X_25123_25650_CE,Mispricing,408
X_25123_25650_CE,Price jump,352
X_25123_25650_CE,Gamma spike,295
X_25123_25650_CE,IV spike,232
X_25123_25650_CE,Spread widening,168
X_25123_25650_PE,Gamma spike,621
X_25123_25650_PE,Mispricing,415
X_25123_25650_PE,IV spike,386
X_25123_25650_PE,Price jump,262
X_25123_25650_PE,Spread widening,135
